time,open,high,low,close,tick_volume,spread,real_volume
2021-01-26,1855.527,1861.759,1848.362,1851.373,76291,0,0
2021-01-27,1851.392,1853.176,1831.351,1840.029,89975,0,0
2021-01-28,1840.076,1864.175,1834.107,1843.95,110909,0,0
2021-01-29,1843.995,1875.659,1839.675,1848.029,120166,0,0
2021-01-31,1855.422,1860.041,1851.736,1855.966,7063,0,0
2021-02-01,1855.912,1871.856,1849.184,1857.722,129305,0,0
2021-02-02,1857.767,1864.145,1829.597,1836.502,111581,0,0
2021-02-03,1836.515,1844.965,1829.645,1834.376,83391,0,0
2021-02-04,1834.358,1834.741,1785.005,1795.933,101638,0,0
2021-02-05,1795.98,1815.178,1792.153,1814.275,87827,0,0
2021-02-07,1817.399,1818.849,1815.903,1818.11,2422,0,0
2021-02-08,1818.063,1839.184,1807.845,1830.621,83987,0,0
2021-02-09,1830.618,1848.612,1830.06,1836.227,83102,0,0
2021-02-10,1836.225,1855.439,1834.136,1842.096,85918,0,0
2021-02-11,1842.079,1847.6,1821.173,1826.792,78092,0,0
2021-02-12,1826.795,1830.754,1810.576,1824.369,73933,0,0
2021-02-14,1825.038,1825.91,1820.24,1821.079,2495,0,0
2021-02-15,1821.128,1827.067,1816.153,1818.794,54352,0,0
2021-02-16,1818.791,1826.531,1786.995,1788.488,102196,0,0
2021-02-17,1788.438,1795.231,1769.548,1778.283,103370,0,0
2021-02-18,1778.282,1789.698,1768.485,1771.799,90612,0,0
2021-02-19,1771.749,1791.644,1760.766,1784.189,105396,0,0
2021-02-21,1786.471,1788.223,1781.431,1783.498,3533,0,0
2021-02-22,1783.548,1812.691,1780.788,1810.546,100195,0,0
2021-02-23,1810.55,1816.046,1795.746,1805.906,92718,0,0
2021-02-24,1805.935,1813.857,1783.613,1803.135,101604,0,0
2021-02-25,1803.142,1804.283,1765.326,1770.0,144215,0,0
2021-02-26,1770.049,1775.854,1717.195,1734.789,193069,0,0
2021-02-28,1738.098,1740.08,1735.426,1739.339,4223,0,0
2021-03-01,1739.306,1759.905,1719.741,1725.088,131723,0,0
2021-03-02,1725.057,1740.604,1707.254,1736.658,144170,0,0
2021-03-03,1736.647,1737.575,1701.868,1710.568,141320,0,0
2021-03-04,1710.564,1723.265,1690.543,1694.41,178854,0,0
2021-03-05,1694.377,1707.731,1687.32,1700.976,152998,0,0
2021-03-07,1706.441,1714.055,1706.368,1707.826,4836,0,0
2021-03-08,1707.806,1714.353,1676.792,1684.753,129321,0,0
2021-03-09,1684.72,1720.666,1680.279,1715.981,125383,0,0
2021-03-10,1715.964,1727.23,1708.231,1726.791,120186,0,0
2021-03-11,1726.799,1739.904,1719.24,1722.745,114271,0,0
2021-03-12,1722.776,1729.311,1699.259,1726.889,122223,0,0
2021-03-14,1728.391,1728.488,1724.344,1725.435,5281,0,0
2021-03-15,1725.43,1734.624,1721.716,1730.798,105602,0,0
2021-03-16,1730.765,1741.177,1726.122,1731.735,101471,0,0
2021-03-17,1731.686,1751.689,1724.046,1748.565,116800,0,0
2021-03-18,1748.564,1755.578,1719.245,1735.293,140587,0,0
2021-03-19,1735.288,1746.784,1728.584,1745.266,116317,0,0
2021-03-21,1743.854,1744.455,1738.081,1738.314,5937,0,0
2021-03-22,1738.282,1743.147,1727.315,1739.406,103370,0,0
2021-03-23,1739.4,1742.609,1724.763,1727.182,104701,0,0
2021-03-24,1727.197,1738.464,1723.786,1734.583,93530,0,0
2021-03-25,1734.592,1745.501,1721.768,1727.393,109092,0,0
2021-03-26,1727.416,1736.783,1721.613,1732.469,86006,0,0
2021-03-28,1731.517,1732.649,1730.745,1731.099,3557,0,0
2021-03-29,1731.114,1732.935,1705.836,1712.032,92457,0,0
2021-03-30,1712.038,1714.442,1678.647,1685.589,115389,0,0
2021-03-31,1685.588,1715.314,1677.934,1707.503,107425,0,0
2021-04-01,1707.505,1730.685,1705.861,1729.89,103724,0,0
2021-04-04,1728.602,1730.017,1727.008,1728.151,4927,0,0
2021-04-05,1728.114,1733.591,1721.385,1729.467,92627,0,0
2021-04-06,1729.437,1745.534,1727.637,1743.352,104189,0,0
2021-04-07,1743.317,1743.432,1730.707,1736.936,93659,0,0
2021-04-08,1736.906,1758.745,1733.233,1754.248,94056,0,0
2021-04-09,1754.278,1757.381,1731.202,1743.982,102607,0,0
2021-04-11,1742.581,1743.575,1740.59,1741.691,3757,0,0
2021-04-12,1741.657,1745.072,1727.424,1731.998,97818,0,0
2021-04-13,1732.002,1748.978,1723.756,1746.681,114821,0,0
2021-04-14,1746.675,1749.467,1732.638,1736.725,102833,0,0
2021-04-15,1736.695,1769.688,1734.397,1764.001,113831,0,0
2021-04-16,1763.97,1783.9,1759.829,1776.663,100989,0,0
2021-04-18,1775.78,1778.193,1774.902,1776.823,3664,0,0
2021-04-19,1776.792,1790.087,1766.766,1772.212,106720,0,0
2021-04-20,1772.215,1780.505,1763.701,1776.877,114300,0,0
2021-04-21,1776.882,1797.689,1776.594,1793.71,96515,0,0
