open,high,low,close,tick_volume,spread,real_volume
2907.9,2913.23,2907.87,2911.34,602,5,0
2911.36,2912.76,2909.7,2912.25,457,8,0
2912.26,2921.67,2911.4,2921.48,891,5,0
2921.48,2921.5,2917.2,2917.83,691,5,0
2917.96,2918.66,2916.42,2918.51,642,5,0
2918.43,2919.02,2918.09,2918.63,405,9,0
2918.51,2920.83,2917.54,2920.57,526,6,0
2920.58,2924.97,2919.68,2922.61,1104,9,0
2922.6,2931.28,2919.62,2929.87,1392,5,0
2930.02,2932.07,2927.35,2928.35,1261,5,0
2928.21,2931.88,2927.47,2931.71,1152,5,0
2931.63,2935.94,2929.14,2933.95,1286,5,0
2933.96,2942.58,2933.78,2939.93,1332,5,0
2939.93,2942.58,2937.63,2939.87,1126,5,0
2939.95,2941.54,2906.31,2916.39,1865,5,0
2916.23,2923.86,2913.23,2918.76,1549,5,0
2918.46,2918.85,2911.15,2915.56,1550,5,0
2915.46,2922.51,2914.68,2921.72,1297,9,0
2922.09,2925.71,2921.0,2924.59,839,5,0
2924.27,2924.81,2916.58,2919.61,1024,5,0
2919.61,2920.39,2917.94,2919.57,705,5,0
2919.57,2920.7,2918.34,2919.31,752,5,0
2919.31,2919.79,2917.68,2919.06,853,9,0
2918.82,2919.2,2914.64,2916.29,779,5,0
2916.11,2918.36,2915.21,2918.34,691,5,0
2918.56,2919.42,2916.85,2918.77,901,11,0
2919.13,2922.7,2917.88,2922.59,1080,11,0
2922.66,2923.66,2921.32,2922.9,920,5,0
2922.61,2929.26,2922.46,2926.45,1254,5,0
2926.19,2926.72,2920.88,2921.86,1054,11,0
2921.7,2923.41,2915.56,2917.37,1142,7,0
2917.53,2918.77,2915.34,2917.89,1101,5,0
2917.78,2918.32,2912.51,2918.14,1226,5,0
2918.27,2918.27,2910.76,2911.05,1102,8,0
2910.96,2911.78,2907.31,2910.19,1327,5,0
2910.45,2913.53,2908.48,2913.44,1072,5,0
2913.05,2915.38,2910.64,2911.22,1171,5,0
2911.26,2914.16,2909.05,2914.01,1268,5,0
2913.88,2914.57,2910.05,2911.56,1223,5,0
2911.46,2912.76,2907.02,2907.45,1077,5,0
2907.26,2912.2,2904.8,2910.82,1263,5,0
2910.95,2911.04,2908.92,2909.98,1219,6,0
2909.88,2909.88,2903.9,2904.24,1303,5,0
