open,high,low,close,tick_volume,spread,real_volume
2646.175,2646.44,2642.029,2643.182,1897,111,0
2643.187,2646.187,2642.697,2643.325,1820,112,0
2643.309,2644.545,2641.845,2642.699,1878,111,0
2642.653,2645.876,2641.864,2645.726,1470,111,0
2645.728,2645.994,2644.67,2644.849,1365,111,0
2644.86,2648.751,2644.73,2647.579,1407,112,0
2647.611,2649.048,2647.014,2648.695,1551,111,0
2648.736,2650.402,2648.363,2649.789,1479,111,0
2649.817,2649.975,2647.909,2648.775,1369,111,0
2648.751,2649.379,2648.287,2648.901,1167,111,0
2648.886,2650.16,2648.142,2648.763,1431,111,0
2648.78,2651.038,2648.595,2649.721,1505,112,0
2649.718,2652.738,2649.215,2651.331,1639,111,0
2651.375,2651.859,2649.867,2650.423,1680,111,0
2650.438,2651.181,2648.582,2649.129,1593,112,0
2649.099,2651.05,2647.495,2650.877,2198,111,0
2650.843,2653.421,2650.192,2653.244,1505,112,0
2653.275,2654.541,2650.72,2652.341,2870,111,0
2652.321,2652.569,2646.121,2647.314,3146,111,0
2647.368,2650.674,2644.317,2645.016,4679,111,0
2644.975,2649.875,2644.328,2648.912,3392,111,0
2648.919,2650.278,2646.228,2648.52,2975,111,0
2648.481,2648.852,2644.634,2645.624,3044,111,0
2645.594,2647.865,2644.786,2647.099,4057,111,0
2647.136,2647.528,2639.568,2640.419,4195,111,0
2640.38,2641.601,2635.06,2636.426,4619,111,0
2636.464,2639.437,2633.284,2634.188,4496,111,0
2634.149,2636.442,2631.799,2633.681,4014,111,0
2633.745,2641.935,2633.745,2640.28,3660,111,0
2640.295,2643.419,2639.857,2640.926,2978,111,0
2640.9,2643.407,2636.739,2637.53,2836,111,0
2637.565,2639.803,2636.65,2637.867,2488,111,0
2637.889,2638.125,2632.859,2635.22,2553,111,0
2635.252,2635.96,2627.049,2627.674,2804,111,0
2627.648,2629.988,2624.359,2626.688,3774,111,0
2626.601,2627.801,2623.686,2625.343,3264,111,0
2625.294,2629.055,2625.093,2627.968,2356,111,0
2627.976,2628.947,2625.751,2626.402,2355,111,0
2626.374,2627.191,2623.468,2625.138,2857,111,0
2625.092,2629.266,2624.996,2628.285,1830,112,0
2628.27,2629.704,2627.355,2629.505,1547,112,0
2629.547,2631.46,2629.28,2630.661,1990,111,0
2630.555,2630.56,2628.643,2629.773,1496,112,0
2629.731,2631.278,2628.903,2631.011,1369,112,0
2631.003,2631.753,2629.824,2629.824,1351,112,0
2629.798,2631.762,2628.666,2629.287,1421,111,0
2629.313,2629.877,2628.394,2628.742,1263,112,0
2628.736,2631.111,2627.96,2630.559,1371,111,0
2630.596,2631.627,2630.148,2631.359,1469,111,0
2631.381,2632.352,2631.195,2631.35,871,112,0
2631.317,2631.835,2630.999,2631.347,574,112,0
2631.345,2631.591,2631.073,2631.49,519,111,0
2631.508,2632.531,2631.23,2631.845,564,112,0
2632.091,2632.207,2631.442,2631.936,500,112,0
2631.943,2633.327,2631.841,2632.839,755,112,0
2632.84,2633.565,2632.664,2632.932,641,112,0
2632.98,2633.856,2632.697,2633.737,614,112,0
2633.745,2633.808,2631.623,2632.016,912,111,0
2632.027,2632.226,2631.287,2631.728,649,112,0
2631.729,2632.903,2631.555,2631.965,897,112,0
2631.963,2632.35,2628.239,2628.58,1138,112,0
2628.616,2630.497,2612.955,2615.634,6484,111,0
2615.594,2620.044,2614.446,2618.533,3806,111,0
2618.542,2624.217,2618.172,2620.957,3158,111,0
2620.931,2621.128,2616.489,2617.628,3609,111,0
2617.62,2622.415,2616.89,2620.57,2323,111,0
2620.53,2622.135,2619.073,2621.771,1475,111,0
2621.739,2625.189,2621.328,2624.424,2123,111,0
2624.428,2625.592,2623.643,2625.295,1954,111,0
2625.334,2629.355,2624.885,2628.676,2173,112,0
2628.684,2638.409,2628.13,2636.426,3554,111,0
2636.462,2640.174,2634.225,2639.734,3153,111,0
2639.756,2642.615,2638.353,2640.901,2173,112,0
2640.899,2643.076,2640.129,2642.215,1767,112,0
2642.213,2644.601,2640.657,2642.061,1672,112,0
2642.03,2643.875,2641.735,2642.692,1383,112,0
2642.656,2643.019,2641.427,2642.305,1260,112,0
2642.33,2642.369,2641.518,2642.145,1037,112,0
2642.147,2642.452,2641.9,2641.9,790,112,0
2641.914,2642.72,2636.371,2636.906,3222,112,0
2636.869,2638.856,2635.337,2637.975,2444,111,0
2637.92,2638.847,2636.379,2638.189,1837,111,0
2638.257,2640.747,2637.963,2640.39,1581,111,0
2640.423,2642.303,2636.638,2638.323,2341,111,0
2638.362,2640.19,2638.252,2639.394,1790,111,0
2639.352,2639.412,2637.066,2638.337,1570,111,0
2638.341,2639.661,2635.939,2636.673,1628,112,0
2636.671,2638.03,2636.434,2636.596,1327,112,0
2636.667,2640.208,2636.599,2639.706,1333,112,0
2639.679,2641.534,2638.727,2640.586,2089,111,0
2640.542,2640.735,2638.395,2638.682,1599,112,0
2638.673,2642.132,2637.737,2641.866,1710,112,0
2641.955,2645.274,2641.177,2644.177,1878,111,0
2644.222,2645.757,2642.825,2643.112,2096,111,0
2643.118,2643.741,2640.76,2642.263,1850,111,0
2642.309,2642.804,2639.787,2642.525,1597,111,0
2642.526,2643.364,2640.188,2640.702,1586,112,0
2640.732,2640.932,2638.231,2638.714,1362,111,0
2638.712,2640.139,2636.809,2637.459,1419,112,0
2637.471,2637.629,2634.469,2634.782,1524,111,0
2634.786,2636.381,2633.517,2634.219,1835,111,0
2634.227,2636.536,2632.368,2636.273,1552,111,0
2636.267,2638.475,2636.117,2637.802,1418,112,0
2637.756,2639.325,2636.677,2637.395,1477,112,0
2637.398,2639.327,2636.897,2638.504,1412,111,0
